Date,Close,Open,High,Low,Vol.,Change %,LogRet
2019-01-25,1803.13,"1,789.54","1,806.08","1,788.84",-,0.95%,0.009478374227156472
2019-01-28,1786.36,"1,803.50","1,803.54","1,778.19",-,-0.93%,-0.009344013782668803
2019-01-29,1786.14,"1,786.45","1,797.48","1,784.08",-,-0.01%,-0.00012316305124038252
2019-01-30,1818.53,"1,786.75","1,822.75","1,786.50",-,1.81%,0.01797161558165783
2019-01-31,1829.25,"1,820.41","1,832.89","1,813.81",-,0.59%,0.0058775643601665095
2019-02-01,1827.63,"1,828.81","1,835.09","1,823.79",-,-0.09%,-0.0008860012392943872
2019-02-04,1837.01,"1,826.16","1,837.08","1,822.86",-,0.51%,0.005119204333602134
2019-02-05,1853.94,"1,836.84","1,854.54","1,836.78",-,0.92%,0.009173854284131089
2019-02-06,1846.54,"1,853.62","1,853.81","1,844.07",-,-0.40%,-0.003999486479663084
2019-02-07,1823.83,"1,845.05","1,845.20","1,815.45",-,-1.23%,-0.012374932126578031
2019-02-08,1818.4,"1,821.94","1,822.83","1,807.73",-,-0.30%,-0.0029816919980039103
2019-02-11,1817.76,"1,818.24","1,824.71","1,814.97",-,-0.04%,-0.00035201971673881616
2019-02-12,1841.93,"1,819.62","1,842.64","1,819.62",-,1.33%,0.01320896110000458
2019-02-13,1844.6,"1,842.94","1,852.57","1,841.67",-,0.14%,0.001448516880019568
2019-02-14,1839.82,"1,846.03","1,849.59","1,833.67",-,-0.26%,-0.0025947110708273158
2019-02-15,1858.49,"1,837.84","1,858.73","1,837.37",-,1.01%,0.010096589308693282
2019-02-18,1860.32,"1,860.39","1,861.98","1,859.05",-,0.10%,0.000984185880813726
2019-02-19,1864.45,"1,859.46","1,867.81","1,855.19",-,0.22%,0.0022175874980234767
2019-02-20,1870.01,"1,865.61","1,873.21","1,864.61",-,0.30%,0.0029776750095953375
2019-02-21,1866.35,"1,870.28","1,871.79","1,861.29",-,-0.20%,-0.0019591266209060265
2019-02-22,1876.51,"1,865.71","1,878.25","1,865.52",-,0.54%,0.0054290168239425896
2019-02-25,1883.51,"1,878.00","1,891.18","1,877.80",-,0.37%,0.0037233887517151842
2019-02-26,1887.17,"1,883.02","1,891.45","1,879.70",-,0.19%,0.0019412950181028066
2019-02-27,1885.78,"1,887.02","1,887.40","1,875.65",-,-0.07%,-0.0007368240039689056
2019-02-28,1878.9,"1,884.68","1,884.72","1,877.74",-,-0.36%,-0.003655029197325632
2019-03-01,1889.18,"1,878.61","1,892.29","1,877.91",-,0.55%,0.005456373274810744
2019-03-04,1891.01,"1,889.16","1,899.05","1,879.47",-,0.10%,0.0009682053774850985
2019-03-05,1889.45,"1,889.44","1,892.80","1,885.52",-,-0.08%,-0.0008252964393458129
2019-03-06,1882.07,"1,887.89","1,890.66","1,880.44",-,-0.39%,-0.003913546484835884
2019-03-07,1862.72,"1,881.43","1,881.72","1,858.57",-,-1.03%,-0.010334449844220828
2019-03-08,1855.93,"1,861.97","1,862.50","1,844.54",-,-0.36%,-0.003651866965713957
2019-03-11,1883.9,"1,855.49","1,884.23","1,855.43",-,1.51%,0.014958178053672277
2019-03-12,1891.2,"1,886.97","1,897.27","1,883.13",-,0.39%,0.0038674520404500257
2019-03-13,1906.09,"1,889.68","1,908.55","1,889.68",-,0.79%,0.007842475195022125
2019-03-14,1905.6,"1,904.32","1,910.95","1,903.90",-,-0.03%,-0.0002571038057652686
2019-03-15,1919.82,"1,906.88","1,923.44","1,906.49",-,0.75%,0.007434512025985995
2019-03-18,1929.93,"1,920.01","1,930.69","1,919.84",-,0.53%,0.005252301184106578
2019-03-19,1935.15,"1,930.80","1,943.23","1,930.38",-,0.27%,0.0027011100281271183
2019-03-20,1934.43,"1,933.99","1,943.60","1,924.42",-,-0.04%,-0.0003721334141220112
2019-03-21,1950.57,"1,936.18","1,952.12","1,932.07",-,0.83%,0.008308928111397051
2019-03-22,1914.82,"1,950.88","1,951.86","1,914.54",-,-1.83%,-0.01849801411763785
2019-03-25,1907.47,"1,911.98","1,915.38","1,901.98",-,-0.38%,-0.0038458667758316523
2019-03-26,1917.26,"1,908.76","1,927.63","1,908.20",-,0.51%,0.005119326792191181
2019-03-27,1910.16,"1,916.07","1,922.94","1,899.08",-,-0.37%,-0.003710075269548696
2019-03-28,1910.14,"1,908.66","1,914.28","1,903.10",-,-0.00%,-1.0470381907268234e-05
2019-03-29,1919.49,"1,910.17","1,920.01","1,909.17",-,0.49%,0.004882987953462425
2019-04-01,1939.94,"1,921.88","1,940.82","1,921.87",-,1.07%,0.010597519006788403
2019-04-02,1945.89,"1,939.57","1,948.97","1,938.91",-,0.31%,0.0030624111966321976
2019-04-03,1954.18,"1,947.50","1,960.16","1,947.46",-,0.43%,0.004251212150188088
2019-04-04,1954.63,"1,954.78","1,956.01","1,948.89",-,0.02%,0.00023024910496438622
2019-04-05,1959.47,"1,955.27","1,961.43","1,955.05",-,0.25%,0.0024731112985865167
2019-04-08,1964.83,"1,960.02","1,965.03","1,955.84",-,0.27%,0.0027316990714814082
2019-04-09,1957.61,"1,965.95","1,970.41","1,955.42",-,-0.37%,-0.0036813861546125537
2019-04-10,1961.39,"1,956.31","1,961.80","1,955.92",-,0.19%,0.0019290641348339577
2019-04-11,1959.05,"1,960.82","1,962.86","1,956.50",-,-0.12%,-0.0011937437011564356
2019-04-12,1967.21,"1,960.66","1,968.80","1,959.73",-,0.42%,0.004156633411320776
2019-04-15,1968.17,"1,969.07","1,969.75","1,962.45",-,0.05%,0.00048788173901481713
2019-04-16,1972.89,"1,968.21","1,976.48","1,968.01",-,0.24%,0.0023952958121560286
2019-04-17,1979.41,"1,974.14","1,981.08","1,972.63",-,0.33%,0.0032993476783440556
2019-04-18,1977.46,"1,978.68","1,981.48","1,972.44",-,-0.10%,-0.000985627608621087
2019-04-19,1977.62,"1,977.26","1,977.88","1,977.20",-,0.01%,8.090860366216646e-05
2019-04-22,1981.01,"1,976.78","1,981.24","1,972.42",-,0.17%,0.0017127141605470797
2019-04-23,1994.53,"1,980.99","1,994.84","1,979.73",-,0.68%,0.006801617954702799
2019-04-24,1980.27,"1,991.93","1,993.03","1,980.19",-,-0.71%,-0.0071752345678222085
2019-04-25,1980.26,"1,980.61","1,984.88","1,975.63",-,-0.00%,-5.049829189474053e-06
2019-04-26,1986.61,"1,979.90","1,986.76","1,974.96",-,0.32%,0.0032015192954713
2019-04-29,1989.82,"1,988.00","1,991.94","1,985.48",-,0.16%,0.0016145138716288088
2019-04-30,1989.16,"1,989.66","1,992.93","1,977.71",-,-0.03%,-0.0003317433141427628
2019-05-01,1980.56,"1,989.08","1,998.14","1,980.44",-,-0.43%,-0.004332806069006878
2019-05-02,1971.0,"1,980.90","1,982.41","1,965.57",-,-0.48%,-0.004838604830309734
2019-05-03,1993.05,"1,970.58","1,993.57","1,969.76",-,1.12%,0.011125100552706435
2019-05-06,1980.44,"1,992.26","1,992.30","1,961.16",-,-0.63%,-0.006347086482324293
2019-05-07,1948.5,"1,980.44","1,980.91","1,938.05",-,-1.61%,-0.01625919644433793
2019-05-08,1946.28,"1,948.14","1,957.57","1,942.90",-,-0.11%,-0.0011399874911655061
2019-05-09,1929.07,"1,943.93","1,944.24","1,914.74",-,-0.88%,-0.00888183680802701
2019-05-10,1933.02,"1,929.01","1,938.18","1,908.62",-,0.20%,0.002045525286717975
2019-05-13,1894.52,"1,932.84","1,932.95","1,890.97",-,-1.99%,-0.020118038488193157
2019-05-14,1905.46,"1,894.05","1,913.70","1,893.45",-,0.58%,0.005757940949833618
2019-05-15,1921.65,"1,906.03","1,925.60","1,895.80",-,0.85%,0.008460742742622429
2019-05-16,1937.5,"1,920.49","1,944.49","1,917.86",-,0.82%,0.008214290256949752
2019-05-17,1926.39,"1,939.42","1,940.07","1,924.13",-,-0.57%,-0.005750697156374329
2019-05-20,1911.7,"1,927.14","1,929.20","1,904.18",-,-0.76%,-0.007654886536155203
2019-05-21,1920.56,"1,912.15","1,925.64","1,910.77",-,0.46%,0.004623911627067656
